"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Groningen (PV)";"2006 2nd quarter";"100.1";"2.1";"6.9";"1743";"12.5";"6.0"
"Groningen (PV)";"2006 3rd quarter";"101.0";"0.9";"5.5";"1824";"4.6";"-8.7"
"Groningen (PV)";"2006 4th quarter";"101.3";"0.4";"4.6";"1935";"6.1";"2.1"
"Groningen (PV)";"2006";"100.1";"5.9";"5.9";"7052";"3.1";"3.1"
"Groningen (PV)";"2007 1st quarter";"102.7";"1.4";"4.8";"1507";"-22.1";"-2.8"
"Groningen (PV)";"2007 2nd quarter";"102.4";"-0.3";"2.3";"1757";"16.6";"0.8"
"Groningen (PV)";"2007 3rd quarter";"104.2";"1.8";"3.2";"1778";"1.2";"-2.5"
"Groningen (PV)";"2007 4th quarter";"104.2";"0.0";"2.8";"1808";"1.7";"-6.6"
"Groningen (PV)";"2007";"103.4";"3.3";"3.3";"6850";"-2.9";"-2.9"
"Groningen (PV)";"2008 1st quarter";"105.2";"0.9";"2.4";"1332";"-26.3";"-11.6"
"Groningen (PV)";"2008 2nd quarter";"104.9";"-0.3";"2.5";"1529";"14.8";"-13.0"
"Groningen (PV)";"2008 3rd quarter";"106.0";"1.1";"1.8";"1654";"8.2";"-7.0"
"Groningen (PV)";"2008 4th quarter";"105.8";"-0.2";"1.5";"1478";"-10.6";"-18.3"
"Groningen (PV)";"2008";"105.5";"2.0";"2.0";"5993";"-12.5";"-12.5"
"Groningen (PV)";"2009 1st quarter";"102.6";"-3.0";"-2.4";"912";"-38.3";"-31.5"
"Groningen (PV)";"2009 2nd quarter";"100.8";"-1.7";"-3.9";"1074";"17.8";"-29.8"
"Groningen (PV)";"2009 3rd quarter";"101.5";"0.7";"-4.2";"1140";"6.1";"-31.1"
"Groningen (PV)";"2009 4th quarter";"100.0";"-1.5";"-5.5";"1277";"12.0";"-13.6"
"Groningen (PV)";"2009";"101.3";"-4.0";"-4.0";"4403";"-26.5";"-26.5"
"Groningen (PV)";"2010 1st quarter";"100.2";"0.2";"-2.3";"880";"-31.1";"-3.5"
"Groningen (PV)";"2010 2nd quarter";"99.5";"-0.8";"-1.4";"1078";"22.5";"0.4"
"Groningen (PV)";"2010 3rd quarter";"101.1";"1.7";"-0.4";"1202";"11.5";"5.4"
"Groningen (PV)";"2010 4th quarter";"99.2";"-1.9";"-0.8";"1187";"-1.2";"-7.0"
"Groningen (PV)";"2010";"100.0";"-1.2";"-1.2";"4347";"-1.3";"-1.3"
"Groningen (PV)";"2011 1st quarter";"99.5";"0.3";"-0.7";"956";"-19.5";"8.6"
"Groningen (PV)";"2011 2nd quarter";"97.2";"-2.3";"-2.3";"979";"2.4";"-9.2"
"Groningen (PV)";"2011 3rd quarter";"95.8";"-1.4";"-5.3";"1118";"14.2";"-7.0"
"Groningen (PV)";"2011 4th quarter";"94.9";"-0.9";"-4.3";"1040";"-7.0";"-12.4"
"Groningen (PV)";"2011";"96.9";"-3.1";"-3.1";"4093";"-5.8";"-5.8"
"Groningen (PV)";"2012 1st quarter";"93.3";"-1.7";"-6.3";"718";"-31.0";"-24.9"
"Groningen (PV)";"2012 2nd quarter";"92.2";"-1.1";"-5.1";"1083";"50.8";"10.6"
"Groningen (PV)";"2012 3rd quarter";"89.0";"-3.5";"-7.1";"807";"-25.5";"-27.8"
"Groningen (PV)";"2012 4th quarter";"88.3";"-0.8";"-7.0";"1114";"38.0";"7.1"
"Groningen (PV)";"2012";"90.7";"-6.4";"-6.4";"3722";"-9.1";"-9.1"
"Groningen (PV)";"2013 1st quarter";"87.9";"-0.5";"-5.8";"684";"-38.6";"-4.7"
"Groningen (PV)";"2013 2nd quarter";"85.5";"-2.7";"-7.3";"743";"8.6";"-31.4"
"Groningen (PV)";"2013 3rd quarter";"85.5";"0.0";"-3.9";"998";"34.3";"23.7"
"Groningen (PV)";"2013 4th quarter";"84.4";"-1.4";"-4.4";"1165";"16.7";"4.6"
"Groningen (PV)";"2013";"85.8";"-5.4";"-5.4";"3590";"-3.5";"-3.5"
"Groningen (PV)";"2014 1st quarter";"84.3";"-0.1";"-4.0";"877";"-24.7";"28.2"
"Groningen (PV)";"2014 2nd quarter";"85.4";"1.3";"-0.1";"982";"12.0";"32.2"
"Groningen (PV)";"2014 3rd quarter";"85.4";"0.1";"-0.1";"1225";"24.7";"22.7"
"Groningen (PV)";"2014 4th quarter";"85.5";"0.1";"1.4";"1664";"35.8";"42.8"
"Groningen (PV)";"2014";"85.2";"-0.8";"-0.8";"4748";"32.3";"32.3"
