"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Gelderland (PV)";"2017 4th quarter";"97.0";"2.1";"7.9";"7823";"9.3";"11.4"
"Gelderland (PV)";"2017";"94.1";"6.6";"6.6";"28433";"18.9";"18.9"
"Utrecht (PV)";"1995 1st quarter";"34.7";" ";" ";"2655";" ";" "
"Utrecht (PV)";"1995 2nd quarter";"34.8";"0.4";" ";"2961";"11.5";" "
"Utrecht (PV)";"1995 3rd quarter";"35.9";"3.0";" ";"3232";"9.2";" "
"Utrecht (PV)";"1995 4th quarter";"36.8";"2.6";" ";"3482";"7.7";" "
"Utrecht (PV)";"1995";"35.6";" ";" ";"12330";" ";" "
"Utrecht (PV)";"1996 1st quarter";"37.0";"0.6";"6.7";"3149";"-9.6";"18.6"
"Utrecht (PV)";"1996 2nd quarter";"38.8";"4.8";"11.4";"3741";"18.8";"26.3"
"Utrecht (PV)";"1996 3rd quarter";"40.3";"3.9";"12.4";"3880";"3.7";"20.1"
"Utrecht (PV)";"1996 4th quarter";"41.2";"2.2";"12.0";"4126";"6.3";"18.5"
"Utrecht (PV)";"1996";"39.3";"10.7";"10.7";"14896";"20.8";"20.8"
"Utrecht (PV)";"1997 1st quarter";"42.6";"3.4";"15.1";"3351";"-18.8";"6.4"
"Utrecht (PV)";"1997 2nd quarter";"44.0";"3.2";"13.3";"3908";"16.6";"4.5"
"Utrecht (PV)";"1997 3rd quarter";"45.8";"4.1";"13.5";"3885";"-0.6";"0.1"
"Utrecht (PV)";"1997 4th quarter";"46.5";"1.5";"12.7";"3983";"2.5";"-3.5"
"Utrecht (PV)";"1997";"44.7";"13.7";"13.7";"15127";"1.6";"1.6"
"Utrecht (PV)";"1998 1st quarter";"48.5";"4.3";"13.7";"3002";"-24.6";"-10.4"
"Utrecht (PV)";"1998 2nd quarter";"49.1";"1.3";"11.6";"3625";"20.8";"-7.2"
"Utrecht (PV)";"1998 3rd quarter";"51.0";"3.8";"11.3";"3878";"7.0";"-0.2"
"Utrecht (PV)";"1998 4th quarter";"52.4";"2.8";"12.8";"4261";"9.9";"7.0"
"Utrecht (PV)";"1998";"50.2";"12.3";"12.3";"14766";"-2.4";"-2.4"
"Utrecht (PV)";"1999 1st quarter";"55.0";"5.0";"13.5";"3206";"-24.8";"6.8"
"Utrecht (PV)";"1999 2nd quarter";"57.8";"5.2";"17.8";"3840";"19.8";"5.9"
"Utrecht (PV)";"1999 3rd quarter";"61.3";"6.1";"20.4";"4366";"13.7";"12.6"
"Utrecht (PV)";"1999 4th quarter";"64.5";"5.1";"23.1";"4394";"0.6";"3.1"
"Utrecht (PV)";"1999";"59.7";"18.8";"18.8";"15806";"7.0";"7.0"
"Utrecht (PV)";"2000 1st quarter";"66.9";"3.8";"21.7";"3176";"-27.7";"-0.9"
"Utrecht (PV)";"2000 2nd quarter";"69.9";"4.5";"20.9";"3844";"21.0";"0.1"
"Utrecht (PV)";"2000 3rd quarter";"72.9";"4.2";"18.8";"3968";"3.2";"-9.1"
"Utrecht (PV)";"2000 4th quarter";"73.8";"1.2";"14.4";"4365";"10.0";"-0.7"
"Utrecht (PV)";"2000";"70.9";"18.8";"18.8";"15353";"-2.9";"-2.9"
"Utrecht (PV)";"2001 1st quarter";"74.5";"1.0";"11.3";"2953";"-32.3";"-7.0"
"Utrecht (PV)";"2001 2nd quarter";"75.7";"1.6";"8.2";"3740";"26.7";"-2.7"
"Utrecht (PV)";"2001 3rd quarter";"77.4";"2.3";"6.3";"4306";"15.1";"8.5"
"Utrecht (PV)";"2001 4th quarter";"77.9";"0.5";"5.6";"4488";"4.2";"2.8"
"Utrecht (PV)";"2001";"76.4";"7.8";"7.8";"15487";"0.9";"0.9"
"Utrecht (PV)";"2002 1st quarter";"79.4";"1.9";"6.5";"3429";"-23.6";"16.1"
"Utrecht (PV)";"2002 2nd quarter";"79.9";"0.7";"5.6";"3624";"5.7";"-3.1"
"Utrecht (PV)";"2002 3rd quarter";"80.7";"1.0";"4.2";"4129";"13.9";"-4.1"
"Utrecht (PV)";"2002 4th quarter";"79.6";"-1.4";"2.2";"4124";"-0.1";"-8.1"
"Utrecht (PV)";"2002";"79.9";"4.6";"4.6";"15306";"-1.2";"-1.2"
"Utrecht (PV)";"2003 1st quarter";"81.4";"2.2";"2.5";"3099";"-24.9";"-9.6"
"Utrecht (PV)";"2003 2nd quarter";"82.5";"1.3";"3.2";"3480";"12.3";"-4.0"
"Utrecht (PV)";"2003 3rd quarter";"83.5";"1.3";"3.5";"3767";"8.2";"-8.8"
"Utrecht (PV)";"2003 4th quarter";"84.2";"0.8";"5.8";"4378";"16.2";"6.2"
"Utrecht (PV)";"2003";"82.9";"3.7";"3.7";"14724";"-3.8";"-3.8"
"Utrecht (PV)";"2004 1st quarter";"85.4";"1.5";"4.9";"3077";"-29.7";"-0.7"
"Utrecht (PV)";"2004 2nd quarter";"86.2";"0.9";"4.5";"3813";"23.9";"9.6"
"Utrecht (PV)";"2004 3rd quarter";"88.0";"2.2";"5.4";"3993";"4.7";"6.0"
"Utrecht (PV)";"2004 4th quarter";"88.0";"-0.1";"4.5";"4081";"2.2";"-6.8"
"Utrecht (PV)";"2004";"86.9";"4.8";"4.8";"14964";"1.6";"1.6"
"Utrecht (PV)";"2005 1st quarter";"89.8";"2.1";"5.2";"3125";"-23.4";"1.6"
"Utrecht (PV)";"2005 2nd quarter";"90.1";"0.3";"4.6";"3909";"25.1";"2.5"
"Utrecht (PV)";"2005 3rd quarter";"91.3";"1.4";"3.7";"4507";"15.3";"12.9"
"Utrecht (PV)";"2005 4th quarter";"91.9";"0.7";"4.5";"4689";"4.0";"14.9"
"Utrecht (PV)";"2005";"90.8";"4.5";"4.5";"16230";"8.5";"8.5"
"Utrecht (PV)";"2006 1st quarter";"93.6";"1.8";"4.2";"3913";"-16.5";"25.2"
"Utrecht (PV)";"2006 2nd quarter";"94.8";"1.3";"5.2";"4222";"7.9";"8.0"
"Utrecht (PV)";"2006 3rd quarter";"96.3";"1.7";"5.5";"4362";"3.3";"-3.2"
"Utrecht (PV)";"2006 4th quarter";"97.1";"0.8";"5.6";"4259";"-2.4";"-9.2"
"Utrecht (PV)";"2006";"95.4";"5.1";"5.1";"16756";"3.2";"3.2"
"Utrecht (PV)";"2007 1st quarter";"98.9";"1.8";"5.7";"3503";"-17.8";"-10.5"
"Utrecht (PV)";"2007 2nd quarter";"100.5";"1.7";"6.1";"4004";"14.3";"-5.2"
"Utrecht (PV)";"2007 3rd quarter";"102.5";"1.9";"6.4";"4220";"5.4";"-3.3"
"Utrecht (PV)";"2007 4th quarter";"103.7";"1.2";"6.8";"4174";"-1.1";"-2.0"
"Utrecht (PV)";"2007";"101.4";"6.2";"6.2";"15901";"-5.1";"-5.1"
"Utrecht (PV)";"2008 1st quarter";"104.0";"0.4";"5.2";"3439";"-17.6";"-1.8"
"Utrecht (PV)";"2008 2nd quarter";"104.4";"0.4";"3.9";"3945";"14.7";"-1.5"
"Utrecht (PV)";"2008 3rd quarter";"107.1";"2.5";"4.5";"4062";"3.0";"-3.7"
"Utrecht (PV)";"2008 4th quarter";"106.0";"-1.0";"2.3";"3670";"-9.7";"-12.1"
"Utrecht (PV)";"2008";"105.4";"4.0";"4.0";"15116";"-4.9";"-4.9"
"Utrecht (PV)";"2009 1st quarter";"105.4";"-0.6";"1.3";"2224";"-39.4";"-35.3"
"Utrecht (PV)";"2009 2nd quarter";"103.0";"-2.3";"-1.4";"2402";"8.0";"-39.1"
"Utrecht (PV)";"2009 3rd quarter";"100.8";"-2.1";"-5.8";"2660";"10.7";"-34.5"
"Utrecht (PV)";"2009 4th quarter";"100.2";"-0.6";"-5.5";"2827";"6.3";"-23.0"
"Utrecht (PV)";"2009";"102.4";"-2.9";"-2.9";"10113";"-33.1";"-33.1"
"Utrecht (PV)";"2010 1st quarter";"101.0";"0.8";"-4.2";"2179";"-22.9";"-2.0"
"Utrecht (PV)";"2010 2nd quarter";"99.7";"-1.3";"-3.2";"2569";"17.9";"7.0"
"Utrecht (PV)";"2010 3rd quarter";"100.4";"0.7";"-0.4";"2758";"7.4";"3.7"
"Utrecht (PV)";"2010 4th quarter";"98.8";"-1.6";"-1.4";"2767";"0.3";"-2.1"
"Utrecht (PV)";"2010";"100.0";"-2.3";"-2.3";"10273";"1.6";"1.6"
"Utrecht (PV)";"2011 1st quarter";"98.3";"-0.5";"-2.7";"2335";"-15.6";"7.2"
"Utrecht (PV)";"2011 2nd quarter";"98.4";"0.1";"-1.3";"2378";"1.8";"-7.4"
"Utrecht (PV)";"2011 3rd quarter";"97.4";"-1.1";"-3.0";"2643";"11.1";"-4.2"
"Utrecht (PV)";"2011 4th quarter";"95.8";"-1.6";"-3.0";"2622";"-0.8";"-5.2"
"Utrecht (PV)";"2011";"97.5";"-2.5";"-2.5";"9978";"-2.9";"-2.9"
"Utrecht (PV)";"2012 1st quarter";"95.1";"-0.7";"-3.2";"1983";"-24.4";"-15.1"
"Utrecht (PV)";"2012 2nd quarter";"93.1";"-2.2";"-5.5";"2831";"42.8";"19.1"
"Utrecht (PV)";"2012 3rd quarter";"88.1";"-5.3";"-9.5";"1750";"-38.2";"-33.8"
"Utrecht (PV)";"2012 4th quarter";"88.1";"0.0";"-8.1";"2940";"68.0";"12.1"
"Utrecht (PV)";"2012";"91.1";"-6.6";"-6.6";"9504";"-4.8";"-4.8"
"Utrecht (PV)";"2013 1st quarter";"86.2";"-2.2";"-9.5";"1790";"-39.1";"-9.7"
"Utrecht (PV)";"2013 2nd quarter";"84.9";"-1.5";"-8.8";"1681";"-6.1";"-40.6"
"Utrecht (PV)";"2013 3rd quarter";"84.7";"-0.2";"-3.8";"2336";"39.0";"33.5"
"Utrecht (PV)";"2013 4th quarter";"84.6";"-0.1";"-3.9";"2835";"21.4";"-3.6"
"Utrecht (PV)";"2013";"85.1";"-6.6";"-6.6";"8642";"-9.1";"-9.1"
"Utrecht (PV)";"2014 1st quarter";"85.5";"1.0";"-0.8";"2412";"-14.9";"34.7"
"Utrecht (PV)";"2014 2nd quarter";"86.3";"0.9";"1.6";"2925";"21.3";"74.0"
"Utrecht (PV)";"2014 3rd quarter";"87.3";"1.2";"3.1";"3550";"21.4";"52.0"
"Utrecht (PV)";"2014 4th quarter";"87.6";"0.3";"3.5";"4377";"23.3";"54.4"
"Utrecht (PV)";"2014";"86.7";"1.9";"1.9";"13264";"53.5";"53.5"
"Utrecht (PV)";"2015 1st quarter";"89.0";"1.6";"4.1";"2928";"-33.1";"21.4"
"Utrecht (PV)";"2015 2nd quarter";"89.1";"0.1";"3.2";"3433";"17.2";"17.4"
"Utrecht (PV)";"2015 3rd quarter";"90.7";"1.8";"3.8";"4398";"28.1";"23.9"
"Utrecht (PV)";"2015 4th quarter";"91.4";"0.8";"4.3";"4641";"5.5";"6.0"
"Utrecht (PV)";"2015";"90.0";"3.9";"3.9";"15400";"16.1";"16.1"
"Utrecht (PV)";"2016 1st quarter";"93.1";"1.9";"4.7";"3792";"-18.3";"29.5"
"Utrecht (PV)";"2016 2nd quarter";"94.2";"1.1";"5.7";"4279";"12.8";"24.6"
"Utrecht (PV)";"2016 3rd quarter";"96.9";"2.9";"6.9";"5199";"21.5";"18.2"
"Utrecht (PV)";"2016 4th quarter";"98.6";"1.8";"7.9";"5020";"-3.4";"8.2"
"Utrecht (PV)";"2016";"95.7";"6.3";"6.3";"18290";"18.8";"18.8"
"Utrecht (PV)";"2017 1st quarter";"101.1";"2.5";"8.6";"4439";"-11.6";"17.1"
"Utrecht (PV)";"2017 2nd quarter";"103.0";"1.9";"9.4";"4409";"-0.7";"3.0"
"Utrecht (PV)";"2017 3rd quarter";"105.7";"2.6";"9.1";"4874";"10.5";"-6.3"
"Utrecht (PV)";"2017 4th quarter";"107.9";"2.1";"9.4";"4966";"1.9";"-1.1"
"Utrecht (PV)";"2017";"104.4";"9.1";"9.1";"18688";"2.2";"2.2"
"Noord-Holland (PV)";"1995 1st quarter";"33.9";" ";" ";"4631";" ";" "
"Noord-Holland (PV)";"1995 2nd quarter";"34.2";"1.0";" ";"5169";"11.6";" "
"Noord-Holland (PV)";"1995 3rd quarter";"35.2";"2.9";" ";"5711";"10.5";" "
"Noord-Holland (PV)";"1995 4th quarter";"35.6";"0.9";" ";"6536";"14.4";" "
"Noord-Holland (PV)";"1995";"34.7";" ";" ";"22047";" ";" "
"Noord-Holland (PV)";"1996 1st quarter";"36.6";"2.8";"7.9";"5065";"-22.5";"9.4"
"Noord-Holland (PV)";"1996 2nd quarter";"37.8";"3.3";"10.3";"6199";"22.4";"19.9"
"Noord-Holland (PV)";"1996 3rd quarter";"39.3";"4.0";"11.4";"6176";"-0.4";"8.1"
"Noord-Holland (PV)";"1996 4th quarter";"39.9";"1.6";"12.2";"6535";"5.8";"0.0"
"Noord-Holland (PV)";"1996";"38.4";"10.5";"10.5";"23975";"8.7";"8.7"
"Noord-Holland (PV)";"1997 1st quarter";"41.6";"4.2";"13.7";"4949";"-24.3";"-2.3"
"Noord-Holland (PV)";"1997 2nd quarter";"42.9";"3.3";"13.7";"6769";"36.8";"9.2"
"Noord-Holland (PV)";"1997 3rd quarter";"43.9";"2.2";"11.8";"6885";"1.7";"11.5"
"Noord-Holland (PV)";"1997 4th quarter";"45.1";"2.7";"13.0";"7412";"7.7";"13.4"
"Noord-Holland (PV)";"1997";"43.4";"13.0";"13.0";"26015";"8.5";"8.5"
"Noord-Holland (PV)";"1998 1st quarter";"46.3";"2.8";"11.4";"5537";"-25.3";"11.9"
"Noord-Holland (PV)";"1998 2nd quarter";"48.2";"4.2";"12.4";"6416";"15.9";"-5.2"
"Noord-Holland (PV)";"1998 3rd quarter";"50.6";"4.8";"15.2";"6634";"3.4";"-3.6"
"Noord-Holland (PV)";"1998 4th quarter";"51.6";"2.1";"14.6";"7353";"10.8";"-0.8"
"Noord-Holland (PV)";"1998";"49.2";"13.4";"13.4";"25940";"-0.3";"-0.3"
"Noord-Holland (PV)";"1999 1st quarter";"54.8";"6.1";"18.3";"5781";"-21.4";"4.4"
"Noord-Holland (PV)";"1999 2nd quarter";"57.5";"4.9";"19.1";"6763";"17.0";"5.4"
"Noord-Holland (PV)";"1999 3rd quarter";"61.2";"6.4";"20.9";"7827";"15.7";"18.0"
"Noord-Holland (PV)";"1999 4th quarter";"64.4";"5.4";"24.8";"7816";"-0.1";"6.3"
"Noord-Holland (PV)";"1999";"59.5";"20.9";"20.9";"28187";"8.7";"8.7"
"Noord-Holland (PV)";"2000 1st quarter";"67.2";"4.2";"22.6";"5904";"-24.5";"2.1"
"Noord-Holland (PV)";"2000 2nd quarter";"69.8";"4.0";"21.5";"6741";"14.2";"-0.3"
"Noord-Holland (PV)";"2000 3rd quarter";"72.9";"4.4";"19.2";"7337";"8.8";"-6.3"
"Noord-Holland (PV)";"2000 4th quarter";"74.5";"2.3";"15.7";"7791";"6.2";"-0.3"
"Noord-Holland (PV)";"2000";"71.1";"19.6";"19.6";"27773";"-1.5";"-1.5"
"Noord-Holland (PV)";"2001 1st quarter";"76.8";"3.1";"14.4";"5562";"-28.6";"-5.8"
"Noord-Holland (PV)";"2001 2nd quarter";"79.0";"2.9";"13.2";"7008";"26.0";"4.0"
"Noord-Holland (PV)";"2001 3rd quarter";"80.1";"1.4";"10.0";"7641";"9.0";"4.1"
"Noord-Holland (PV)";"2001 4th quarter";"80.7";"0.7";"8.3";"8288";"8.5";"6.4"
"Noord-Holland (PV)";"2001";"79.2";"11.3";"11.3";"28499";"2.6";"2.6"
"Noord-Holland (PV)";"2002 1st quarter";"81.9";"1.5";"6.6";"6499";"-21.6";"16.8"
"Noord-Holland (PV)";"2002 2nd quarter";"83.0";"1.3";"5.0";"7103";"9.3";"1.4"
"Noord-Holland (PV)";"2002 3rd quarter";"83.9";"1.1";"4.7";"7694";"8.3";"0.7"
"Noord-Holland (PV)";"2002 4th quarter";"83.7";"-0.2";"3.8";"8156";"6.0";"-1.6"
"Noord-Holland (PV)";"2002";"83.1";"5.0";"5.0";"29452";"3.3";"3.3"
"Noord-Holland (PV)";"2003 1st quarter";"82.9";"-1.0";"1.2";"5829";"-28.5";"-10.3"
"Noord-Holland (PV)";"2003 2nd quarter";"83.4";"0.6";"0.4";"6570";"12.7";"-7.5"
"Noord-Holland (PV)";"2003 3rd quarter";"83.8";"0.6";"-0.1";"7489";"14.0";"-2.7"
"Noord-Holland (PV)";"2003 4th quarter";"84.5";"0.8";"0.9";"8943";"19.4";"9.6"
"Noord-Holland (PV)";"2003";"83.6";"0.6";"0.6";"28831";"-2.1";"-2.1"
"Noord-Holland (PV)";"2004 1st quarter";"85.6";"1.3";"3.3";"6369";"-28.8";"9.3"
"Noord-Holland (PV)";"2004 2nd quarter";"86.3";"0.8";"3.5";"7564";"18.8";"15.1"
"Noord-Holland (PV)";"2004 3rd quarter";"87.4";"1.3";"4.3";"8210";"8.5";"9.6"
"Noord-Holland (PV)";"2004 4th quarter";"87.1";"-0.3";"3.1";"8922";"8.7";"-0.2"
"Noord-Holland (PV)";"2004";"86.6";"3.6";"3.6";"31065";"7.7";"7.7"
"Noord-Holland (PV)";"2005 1st quarter";"88.3";"1.3";"3.1";"7017";"-21.4";"10.2"
"Noord-Holland (PV)";"2005 2nd quarter";"89.6";"1.5";"3.9";"8356";"19.1";"10.5"
"Noord-Holland (PV)";"2005 3rd quarter";"90.7";"1.2";"3.7";"9144";"9.4";"11.4"
"Noord-Holland (PV)";"2005 4th quarter";"91.1";"0.5";"4.6";"9722";"6.3";"9.0"
"Noord-Holland (PV)";"2005";"89.9";"3.8";"3.8";"34239";"10.2";"10.2"
"Noord-Holland (PV)";"2006 1st quarter";"92.8";"1.9";"5.1";"7911";"-18.6";"12.7"
"Noord-Holland (PV)";"2006 2nd quarter";"93.9";"1.2";"4.8";"8887";"12.3";"6.4"
"Noord-Holland (PV)";"2006 3rd quarter";"96.1";"2.3";"6.0";"9039";"1.7";"-1.1"
"Noord-Holland (PV)";"2006 4th quarter";"97.0";"0.9";"6.4";"9290";"2.8";"-4.4"
"Noord-Holland (PV)";"2006";"95.0";"5.6";"5.6";"35127";"2.6";"2.6"
"Noord-Holland (PV)";"2007 1st quarter";"98.4";"1.4";"6.0";"7733";"-16.8";"-2.3"
"Noord-Holland (PV)";"2007 2nd quarter";"100.1";"1.8";"6.6";"8448";"9.2";"-4.9"
"Noord-Holland (PV)";"2007 3rd quarter";"103.3";"3.2";"7.5";"8744";"3.5";"-3.3"
"Noord-Holland (PV)";"2007 4th quarter";"104.1";"0.8";"7.4";"9292";"6.3";"0.0"
"Noord-Holland (PV)";"2007";"101.5";"6.9";"6.9";"34217";"-2.6";"-2.6"
"Noord-Holland (PV)";"2008 1st quarter";"105.8";"1.7";"7.6";"7178";"-22.8";"-7.2"
"Noord-Holland (PV)";"2008 2nd quarter";"106.5";"0.6";"6.3";"8155";"13.6";"-3.5"
"Noord-Holland (PV)";"2008 3rd quarter";"107.9";"1.3";"4.4";"8195";"0.5";"-6.3"
"Noord-Holland (PV)";"2008 4th quarter";"106.6";"-1.2";"2.4";"7639";"-6.8";"-17.8"
"Noord-Holland (PV)";"2008";"106.7";"5.1";"5.1";"31167";"-8.9";"-8.9"
"Noord-Holland (PV)";"2009 1st quarter";"106.7";"0.1";"0.8";"4565";"-40.2";"-36.4"
"Noord-Holland (PV)";"2009 2nd quarter";"102.6";"-3.8";"-3.7";"5181";"13.5";"-36.5"
"Noord-Holland (PV)";"2009 3rd quarter";"101.5";"-1.0";"-5.9";"5738";"10.8";"-30.0"
"Noord-Holland (PV)";"2009 4th quarter";"100.8";"-0.7";"-5.4";"6682";"16.5";"-12.5"
"Noord-Holland (PV)";"2009";"102.9";"-3.6";"-3.6";"22166";"-28.9";"-28.9"
"Noord-Holland (PV)";"2010 1st quarter";"99.6";"-1.2";"-6.6";"5158";"-22.8";"13.0"
"Noord-Holland (PV)";"2010 2nd quarter";"100.5";"0.9";"-2.0";"5652";"9.6";"9.1"
"Noord-Holland (PV)";"2010 3rd quarter";"100.1";"-0.4";"-1.4";"5934";"5.0";"3.4"
"Noord-Holland (PV)";"2010 4th quarter";"99.8";"-0.3";"-1.0";"5946";"0.2";"-11.0"
"Noord-Holland (PV)";"2010";"100.0";"-2.8";"-2.8";"22690";"2.4";"2.4"
"Noord-Holland (PV)";"2011 1st quarter";"99.8";"-0.1";"0.2";"5172";"-13.0";"0.3"
"Noord-Holland (PV)";"2011 2nd quarter";"99.4";"-0.4";"-1.1";"5455";"5.5";"-3.5"
"Noord-Holland (PV)";"2011 3rd quarter";"99.0";"-0.4";"-1.1";"5615";"2.9";"-5.4"
"Noord-Holland (PV)";"2011 4th quarter";"96.7";"-2.3";"-3.1";"5783";"3.0";"-2.7"
"Noord-Holland (PV)";"2011";"98.7";"-1.3";"-1.3";"22025";"-2.9";"-2.9"
"Noord-Holland (PV)";"2012 1st quarter";"96.2";"-0.6";"-3.6";"4369";"-24.5";"-15.5"
"Noord-Holland (PV)";"2012 2nd quarter";"93.2";"-3.0";"-6.2";"6068";"38.9";"11.2"
"Noord-Holland (PV)";"2012 3rd quarter";"90.4";"-3.0";"-8.6";"4294";"-29.2";"-23.5"
"Noord-Holland (PV)";"2012 4th quarter";"89.5";"-1.0";"-7.4";"6279";"46.2";"8.6"
"Noord-Holland (PV)";"2012";"92.3";"-6.4";"-6.4";"21010";"-4.6";"-4.6"
"Noord-Holland (PV)";"2013 1st quarter";"87.0";"-2.8";"-9.6";"4408";"-29.8";"0.9"
"Noord-Holland (PV)";"2013 2nd quarter";"85.2";"-2.0";"-8.6";"3958";"-10.2";"-34.8"
"Noord-Holland (PV)";"2013 3rd quarter";"85.8";"0.6";"-5.2";"5413";"36.8";"26.1"
"Noord-Holland (PV)";"2013 4th quarter";"85.2";"-0.7";"-4.9";"6579";"21.5";"4.8"
"Noord-Holland (PV)";"2013";"85.8";"-7.1";"-7.1";"20358";"-3.1";"-3.1"
"Noord-Holland (PV)";"2014 1st quarter";"86.7";"1.8";"-0.3";"5651";"-14.1";"28.2"
"Noord-Holland (PV)";"2014 2nd quarter";"87.2";"0.5";"2.3";"6721";"18.9";"69.8"
"Noord-Holland (PV)";"2014 3rd quarter";"89.0";"2.1";"3.8";"7793";"16.0";"44.0"
"Noord-Holland (PV)";"2014 4th quarter";"89.4";"0.5";"5.0";"10060";"29.1";"52.9"
"Noord-Holland (PV)";"2014";"88.1";"2.7";"2.7";"30225";"48.5";"48.5"
"Noord-Holland (PV)";"2015 1st quarter";"90.3";"0.9";"4.1";"6778";"-32.6";"19.9"
"Noord-Holland (PV)";"2015 2nd quarter";"91.9";"1.8";"5.4";"8284";"22.2";"23.3"
"Noord-Holland (PV)";"2015 3rd quarter";"93.9";"2.2";"5.5";"10097";"21.9";"29.6"
"Noord-Holland (PV)";"2015 4th quarter";"94.9";"1.0";"6.1";"10219";"1.2";"1.6"
"Noord-Holland (PV)";"2015";"92.7";"5.3";"5.3";"35378";"17.0";"17.0"
"Noord-Holland (PV)";"2016 1st quarter";"96.7";"2.0";"7.1";"8465";"-17.2";"24.9"
"Noord-Holland (PV)";"2016 2nd quarter";"98.7";"2.0";"7.4";"9364";"10.6";"13.0"
"Noord-Holland (PV)";"2016 3rd quarter";"102.4";"3.8";"9.0";"11167";"19.3";"10.6"
"Noord-Holland (PV)";"2016 4th quarter";"103.6";"1.2";"9.2";"10447";"-6.4";"2.2"
"Noord-Holland (PV)";"2016";"100.4";"8.2";"8.2";"39443";"11.5";"11.5"
"Noord-Holland (PV)";"2017 1st quarter";"106.9";"3.2";"10.5";"9541";"-8.7";"12.7"
"Noord-Holland (PV)";"2017 2nd quarter";"109.8";"2.6";"11.2";"9570";"0.3";"2.2"
"Noord-Holland (PV)";"2017 3rd quarter";"113.2";"3.2";"10.6";"10254";"7.1";"-8.2"
"Noord-Holland (PV)";"2017 4th quarter";"114.5";"1.1";"10.5";"10484";"2.2";"0.4"
"Noord-Holland (PV)";"2017";"111.1";"10.7";"10.7";"39849";"1.0";"1.0"
"Zuid-Holland (PV)";"1995 1st quarter";"37.9";" ";" ";"7164";" ";" "
"Zuid-Holland (PV)";"1995 2nd quarter";"38.6";"1.7";" ";"8725";"21.8";" "
"Zuid-Holland (PV)";"1995 3rd quarter";"39.4";"2.1";" ";"9502";"8.9";" "
"Zuid-Holland (PV)";"1995 4th quarter";"39.5";"0.3";" ";"10707";"12.7";" "
"Zuid-Holland (PV)";"1995";"38.9";" ";" ";"36098";" ";" "
"Zuid-Holland (PV)";"1996 1st quarter";"40.8";"3.3";"7.7";"8569";"-20.0";"19.6"
"Zuid-Holland (PV)";"1996 2nd quarter";"42.1";"3.0";"9.0";"9647";"12.6";"10.6"
"Zuid-Holland (PV)";"1996 3rd quarter";"43.3";"3.1";"10.0";"10589";"9.8";"11.4"
"Zuid-Holland (PV)";"1996 4th quarter";"44.2";"1.9";"11.8";"11152";"5.3";"4.2"
"Zuid-Holland (PV)";"1996";"42.6";"9.6";"9.6";"39957";"10.7";"10.7"
"Zuid-Holland (PV)";"1997 1st quarter";"45.6";"3.1";"11.5";"8178";"-26.7";"-4.6"
"Zuid-Holland (PV)";"1997 2nd quarter";"46.8";"2.7";"11.2";"10140";"24.0";"5.1"
"Zuid-Holland (PV)";"1997 3rd quarter";"48.3";"3.3";"11.5";"10956";"8.0";"3.5"
"Zuid-Holland (PV)";"1997 4th quarter";"49.1";"1.6";"11.2";"11586";"5.8";"3.9"
"Zuid-Holland (PV)";"1997";"47.5";"11.4";"11.4";"40860";"2.3";"2.3"
"Zuid-Holland (PV)";"1998 1st quarter";"49.6";"1.0";"9.0";"9081";"-21.6";"11.0"
"Zuid-Holland (PV)";"1998 2nd quarter";"51.3";"3.4";"9.7";"11246";"23.8";"10.9"
"Zuid-Holland (PV)";"1998 3rd quarter";"52.8";"2.9";"9.2";"12169";"8.2";"11.1"
"Zuid-Holland (PV)";"1998 4th quarter";"54.1";"2.5";"10.1";"13210";"8.6";"14.0"
"Zuid-Holland (PV)";"1998";"52.0";"9.5";"9.5";"45706";"11.9";"11.9"
"Zuid-Holland (PV)";"1999 1st quarter";"55.7";"2.9";"12.1";"9769";"-26.0";"7.6"
"Zuid-Holland (PV)";"1999 2nd quarter";"58.0";"4.2";"13.0";"11144";"14.1";"-0.9"
"Zuid-Holland (PV)";"1999 3rd quarter";"60.7";"4.6";"14.9";"12027";"7.9";"-1.2"
"Zuid-Holland (PV)";"1999 4th quarter";"63.0";"3.9";"16.6";"12477";"3.7";"-5.5"
"Zuid-Holland (PV)";"1999";"59.3";"14.2";"14.2";"45417";"-0.6";"-0.6"
"Zuid-Holland (PV)";"2000 1st quarter";"65.7";"4.2";"18.0";"9110";"-27.0";"-6.7"
"Zuid-Holland (PV)";"2000 2nd quarter";"68.2";"3.9";"17.5";"10834";"18.9";"-2.8"
"Zuid-Holland (PV)";"2000 3rd quarter";"71.3";"4.5";"17.5";"11036";"1.9";"-8.2"
"Zuid-Holland (PV)";"2000 4th quarter";"73.5";"3.2";"16.7";"12099";"9.6";"-3.0"
"Zuid-Holland (PV)";"2000";"69.7";"17.4";"17.4";"43079";"-5.1";"-5.1"
"Zuid-Holland (PV)";"2001 1st quarter";"74.9";"1.9";"14.1";"8651";"-28.5";"-5.0"
"Zuid-Holland (PV)";"2001 2nd quarter";"77.4";"3.3";"13.5";"10857";"25.5";"0.2"
